sep=;
Turbine Master Data

Selected scope:
parks:,WVN,

Turbine,Park,Country,Controller Type,Manufacturer,Turbine Type,Rotor Diameter,Hub Height,Installed Power,Latitute,Longitude,Commision Year,
WVN01A,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.65674,8.02483,2023,
WVN02A,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.65034,8.02494,2023,
WVN03A,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.64396,8.02502,2023,
WVN04A,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.63757,8.02511,2023,
WVN05A,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.63121,8.02519,2023,
WVN06A,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.6248,8.02527,2023,
WVN07A,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.61843,8.02536,2023,
WVN08A,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.61204,8.02546,2023,
WVN09A,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.60568,8.02549,2023,
WVN10A,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.59927,8.02562,2023,
WVN11B,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.59289,8.0257,2023,
WVN12B,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.5865,8.02579,2023,
WVN13B,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.58015,8.02585,2023,
WVN14B,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.57376,8.02599,2023,
WVN15B,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.56739,8.02605,2023,
WVN16B,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.56098,8.02612,2023,
WVN17B,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.5546,8.0262,2023,
WVN18B,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.54821,8.0263,2023,
WVN19B,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.54183,8.02638,2023,
WVN20B,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.53544,8.02646,2023,
WVN21B,Vesterhav Nord,DK,STC-1,Siemens,SG8.0-167DD,167,109.41,8400,56.52907,8.02655,2023,
